statename,idx_2000,idx_2025,pct_growth
ID,104291.38,467309.05,348.08
HI,225796.38,881742.67,290.5
RI,150378.85,558445.81,271.36
NH,143741.09,511277.17,255.69
FL,123818.17,422456.48,241.19
DC,194147.05,652343.68,236.0
CA,266227.78,874529.25,228.49
NY,146896.9,463101.15,215.26
VT,127677.43,398888.47,212.42
MA,224791.64,701608.33,212.11
NJ,210402.14,652990.0,210.35
AZ,142191.05,440075.81,209.5
TN,97575.98,296473.79,203.84
OR,158988.13,475376.7,199.0
ME,127072.5,374871.56,195.01
WA,198960.8,585027.05,194.04
CO,193142.13,558253.01,189.04
UT,188563.19,531604.72,181.92
CT,187688.17,525414.36,179.94
DE,155481.93,427910.68,175.22
MD,178950.48,483199.6,170.02
NV,189040.11,499533.56,164.25
NC,124237.35,316862.65,155.05
IN,93394.64,237749.38,154.56
OK,74880.99,184738.92,146.71
GA,120663.09,287161.22,137.99
SC,124393.07,285629.63,129.62
VA,163488.85,375233.77,129.52
PA,118298.56,269683.78,127.97
AR,88479.32,194992.88,120.38
AK,165423.15,362021.24,118.85
TX,138706.67,302470.65,118.06
AL,98782.31,213516.05,116.15
WI,149830.66,319477.37,113.23
OH,109572.42,233600.47,113.19
KS,96799.95,204031.97,110.78
MN,150723.37,310039.12,105.7
IA,108263.65,218222.01,101.57
MI,133628.44,268318.16,100.79
MO,125729.57,248156.81,97.37
KY,91024.84,178188.75,95.76
WV,81361.59,157170.43,93.18
NE,133943.65,250067.03,86.7
LA,129421.61,194342.69,50.16
IL,164490.48,231678.29,40.85
