statename,unique_cities,unique_counties
NY,1249,62
PA,1165,67
TX,902,236
CA,887,58
IL,882,101
OH,804,88
MI,726,83
IA,701,99
MO,578,112
WI,572,72
MN,572,87
VA,559,127
NC,545,100
IN,538,92
GA,489,159
NJ,481,21
KY,463,120
TN,449,95
FL,434,67
KS,405,105
AL,371,67
NE,358,89
OK,341,77
MA,339,14
MD,332,24
WA,329,39
WV,327,55
ME,285,16
MS,282,80
CO,277,62
SC,276,46
LA,253,63
AR,252,74
OR,248,35
NH,198,10
MT,195,55
VT,187,14
CT,171,8
ID,158,44
AZ,145,15
UT,140,27
SD,116,48
NM,106,30
ND,96,38
WY,75,23
HI,61,4
NV,50,14
DE,43,3
RI,41,5
AK,33,14
DC,1,1
