regionname,statename,city,countyname,metro,year,yearlyindex
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2000,143155
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2001,156218
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2002,176823
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2003,188845
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2004,201257
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2005,219661
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2006,237980
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2007,254195
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2008,260648
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2009,258241
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2010,262916
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2011,258319
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2012,265474
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2013,276832
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2014,283244
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2015,294933
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2016,301578
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2017,300862
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2018,304453
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2019,307077
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2020,310577
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2021,313485
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2022,326619
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2023,332745
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2024,337909
99501,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2025,342676
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2000,150940
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2001,176400
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2002,193760
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2003,204463
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2004,219182
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2005,240579
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2006,263399
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2007,280609
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2008,284917
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2009,284352
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2010,285194
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2011,280599
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2012,291863
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2013,307856
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2014,316679
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2015,330308
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2016,336822
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2017,334998
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2018,336964
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2019,358100
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2020,367073
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2021,374770
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2022,400221
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2023,414166
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2024,423557
99502,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2025,435571
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2000,136566
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2001,151250
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2002,168063
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2003,176606
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2004,189729
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2005,203349
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2006,221107
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2007,238572
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2008,241142
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2009,240918
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2010,243870
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2011,238574
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2012,245161
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2013,255278
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2014,264231
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2015,276320
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2016,283946
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2017,280810
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2018,288126
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2019,299272
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2020,301974
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2021,304085
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2022,316568
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2023,322678
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2024,323048
99503,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2025,325341
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2000,139530
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2001,157267
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2002,172394
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2003,181609
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2004,194981
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2005,214172
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2006,233800
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2007,247317
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2008,251597
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2009,252691
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2010,253844
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2011,249386
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2012,256800
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2013,268956
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2014,273663
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2015,282415
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2016,288502
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2017,286096
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2018,287632
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2019,303355
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2020,308542
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2021,310773
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2022,328260
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2023,336658
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2024,343949
99504,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2025,352465
99507,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2000,153277
99507,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2001,179565
99507,AK,Anchorage,Anchorage Borough,"Anchorage, AK",2002,195869
